year,wind_persist,ice_persist,sector,phase_doy,amplitude,phase_anom,amplitude_anom
2004,2.0526315789473686,8.894736842105264,Ross,278,6.03828904204529,-0.34782608695650197,0.666476509101602
2005,2.4285714285714284,70.33333333333333,Ross,277,5.9624367583380575,-1.347826086956502,0.5906242253943699
2006,1.6363636363636365,63.26086956521739,Ross,277,5.700664131444546,-1.347826086956502,0.328851598500858
2007,2.3333333333333335,NA,Ross,277,5.3371404119539365,-1.347826086956502,-0.03467212098975114
2008,2.942857142857143,NA,Ross,278,5.512781277742698,-0.34782608695650197,0.14096874479901
2009,2.090909090909091,2,Ross,277,5.489240807096902,-1.347826086956502,0.11742827415321422
2010,1.6666666666666667,26.333333333333332,Ross,277,5.89310041320061,-1.347826086956502,0.5212878802569225
2011,1.8,6.333333333333333,Ross,277,4.998414739272175,-1.347826086956502,-0.37339779367151227
2012,2.076923076923077,1,Ross,278,5.522135045525789,-0.34782608695650197,0.15032251258210128
2013,2.5714285714285716,16,Ross,277,5.471350569167002,-1.347826086956502,0.09953803622331403
2014,3.5217391304347827,NA,Ross,277,5.466875319504164,-1.347826086956502,0.09506278656047673
2015,2.185185185185185,34.220338983050844,Ross,277,4.959602102874851,-1.347826086956502,-0.4122104300688365
2016,1.9565217391304348,8.2,Ross,278,5.700352660260165,-0.34782608695650197,0.32854012731647764
2017,1.5263157894736843,1,Ross,277,5.264227703820003,-1.347826086956502,-0.1075848291236845
2018,2.263157894736842,35.08510638297872,Ross,277,5.409838906318955,-1.347826086956502,0.03802637337526704
2019,3.125,35,Ross,277,5.199693972115519,-1.347826086956502,-0.172118560828169
2020,2.25,NA,Ross,278,5.493566871428642,-0.34782608695650197,0.12175433848495398
2021,3,1,Ross,277,5.434304310513192,-1.347826086956502,0.062491777569504414
2022,2.391304347826087,7,Ross,277,5.365821596102261,-1.347826086956502,-0.005990936841426375
2023,1.8,27.38888888888889,Ross,277,4.511578345730208,-1.347826086956502,-0.8602341872134796
2024,2.090909090909091,NA,Ross,NA,NA,NA,NA
1979,1.5,8,Weddell,240,0.922657526598778,-2.065217391304344,-0.0863216541673173
1980,3,1.5,Weddell,239,0.7629458548475989,-3.065217391304344,-0.24603332591849636
1981,2.764705882352941,17.058823529411764,Weddell,239,0.8693564807531194,-3.065217391304344,-0.13962270001297583
1982,1.5454545454545454,2.75,Weddell,240,0.8302773444614941,-2.065217391304344,-0.17870183630460112
1983,1,6.25,Weddell,239,0.6876994755052148,-3.065217391304344,-0.32127970526088045
1984,2.076923076923077,2,Weddell,240,0.9131135629270326,-2.065217391304344,-0.09586561783906267
1985,1.6666666666666667,17,Weddell,240,0.8720402819134595,-2.065217391304344,-0.13693889885263577
1986,1.8,7.413793103448276,Weddell,239,1.0638136332305208,-3.065217391304344,0.05483445246442553
1987,4,4.166666666666667,Weddell,221,0.8139380010535513,-21.065217391304344,-0.19504117971254398
1988,1.7058823529411764,1,Weddell,245,0.6788837572812441,2.934782608695656,-0.3300954234848512
1989,3.5833333333333335,3.5714285714285716,Weddell,240,0.8549607896976219,-2.065217391304344,-0.15401839106847337
1990,1.7272727272727273,4.4,Weddell,240,1.1629702062815706,-2.065217391304344,0.15399102551547528
1991,2.230769230769231,21.962962962962962,Weddell,240,1.2802874136687628,-2.065217391304344,0.2713082329026675
1992,3.3225806451612905,4.294117647058823,Weddell,241,0.8818640454873202,-1.0652173913043441,-0.12711513527877505
1993,1.8888888888888888,5.869565217391305,Weddell,240,0.9666954458301644,-2.065217391304344,-0.04228373493593085
1994,3.9565217391304346,19,Weddell,240,1.111036595906455,-2.065217391304344,0.10205741514035971
1995,2.5,29.444444444444443,Weddell,240,1.1901292090612796,-2.065217391304344,0.18115002829518434
1996,2.3333333333333335,2,Weddell,241,0.9879190371749814,-1.0652173913043441,-0.021060143591113856
1997,2.076923076923077,5,Weddell,240,1.2366042925337286,-2.065217391304344,0.22762511176763334
1998,1.375,26.142857142857142,Weddell,240,0.953438250488606,-2.065217391304344,-0.0555409302774893
1999,1.6666666666666667,3.4615384615384617,Weddell,240,1.0927000007682133,-2.065217391304344,0.083720820002118
2000,3,13.8,Weddell,241,1.052448955220865,-1.0652173913043441,0.04346977445476963
2001,3.727272727272727,3.7142857142857144,Weddell,240,0.986834967766347,-2.065217391304344,-0.022144212999748225
2002,2.3684210526315788,21.166666666666668,Weddell,240,1.0723002193977251,-2.065217391304344,0.06332103863162986
2003,3.4285714285714284,13.380952380952381,Weddell,240,1.097923417814937,-2.065217391304344,0.0889442370488418
2004,1.9411764705882353,12.6,Weddell,241,1.2595316008785258,-1.0652173913043441,0.2505524201124305
2005,4,13.74074074074074,Weddell,240,0.8501178010212549,-2.065217391304344,-0.15886137974484038
2006,3.1904761904761907,9.962962962962964,Weddell,240,0.8187545745815898,-2.065217391304344,-0.19022460618450543
2007,3.2222222222222223,2,Weddell,240,0.8609115151348143,-2.065217391304344,-0.14806766563128093
2008,2.5,7,Weddell,241,1.1667247589641516,-1.0652173913043441,0.15774557819805635
2009,3.1481481481481484,10.428571428571429,Weddell,240,1.1803434082500615,-2.065217391304344,0.17136422748396618
2010,2.7142857142857144,5.25,Weddell,240,1.2825873496616444,-2.065217391304344,0.2736081688955492
2011,4.153846153846154,9.8125,Weddell,240,1.1072805770578413,-2.065217391304344,0.09830139629174606
